frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
82,2.733333,1,184.987569,75.41016,0.008403,0.055972,4.318125,0.148194
83,2.766667,1,184.542431,75.413732,0.008472,0.05375,3.859583,0.136528
84,2.8,1,184.024236,75.687336,0.008958,0.054375,3.560833,0.121875
85,2.833333,1,183.79375,75.751179,0.008333,0.054097,3.063958,0.106597
86,2.866667,1,183.486667,75.937376,0.007778,0.055417,2.721528,0.094583
87,2.9,1,183.295,76.089262,0.008056,0.055069,2.185694,0.068542
88,2.933333,1,183.034097,76.402715,0.008472,0.055625,1.835903,0.056806
89,2.966667,1,182.992222,76.448428,0.008403,0.055764,1.584514,0.045347
90,3.0,1,182.833819,76.509232,0.008264,0.054375,1.392847,0.035972
91,3.033333,1,182.738056,76.559073,0.007431,0.055139,1.152431,0.025972
92,3.066667,1,182.499583,76.757206,0.007847,0.055347,0.963333,0.017778
93,3.1,1,182.500764,76.764648,0.007361,0.057917,0.792569,0.013611
94,3.133333,1,182.355903,76.866691,0.007569,0.058611,0.644861,0.008958
95,3.166667,1,182.292569,76.892424,0.007431,0.059583,0.502083,0.005903
96,3.2,1,182.107083,76.973584,0.007847,0.059444,0.438264,0.004583
97,3.233333,1,182.125556,76.90705,0.007639,0.060764,0.375139,0.003542
98,3.266667,1,182.03,76.934913,0.007778,0.060833,0.334583,0.002569
99,3.3,1,181.987083,76.935017,0.007708,0.060764,0.295556,0.001806
100,3.333333,1,181.829028,77.028246,0.008056,0.059583,0.303611,0.000625
101,3.366667,1,181.88375,76.977687,0.008056,0.058958,0.304167,0.000556
102,3.4,1,181.789375,77.028,0.008264,0.057778,0.316319,0.001458
103,3.433333,1,181.796458,77.01346,0.008056,0.057639,0.382222,0.001667
104,3.466667,1,181.654514,77.119199,0.008264,0.057153,0.461806,0.003681
105,3.5,1,181.738125,77.036138,0.008194,0.056875,0.593194,0.004514
106,3.533333,1,181.678472,77.053732,0.008264,0.056736,0.729375,0.009931
107,3.566667,1,181.679236,77.029692,0.008819,0.057292,0.904514,0.014236
108,3.6,1,181.574514,77.059206,0.009097,0.056528,1.081667,0.021042
109,3.633333,1,181.651389,76.903208,0.009375,0.055347,1.326458,0.033472
110,3.666667,1,181.620694,76.783751,0.008958,0.055694,1.575972,0.042847
111,3.7,1,181.623958,76.723898,0.008681,0.055139,1.888403,0.059653
112,3.733333,1,181.541181,76.837003,0.00875,0.054931,2.234722,0.076181
113,3.766667,1,181.71125,76.593893,0.008333,0.056111,4.638681,0.161875
114,3.8,1,181.804722,77.007243,0.00875,0.056389,8.900694,0.238611
115,3.833333,1,182.098125,76.724063,0.007986,0.060347,12.869931,0.281389
116,3.866667,1,182.318542,76.611634,0.008681,0.059792,15.229306,0.309028
117,3.9,1,182.746319,75.821816,0.007986,0.054514,17.231806,0.330208
118,3.933333,1,183.302222,75.689871,0.007986,0.057292,18.416181,0.340625
119,3.966667,1,183.669861,75.599444,0.008333,0.053958,19.864167,0.359861
120,4.0,2,184.41875,75.468553,0.008403,0.056944,20.760139,0.369583
121,4.033333,2,184.928264,75.17138,0.008194,0.054514,21.226736,0.373056
122,4.066667,2,187.531042,71.404716,0.0,0.047569,21.268889,0.382639
123,4.1,2,192.148889,64.904066,0.0,0.039097,20.490625,0.392778
124,4.133333,2,197.290278,57.79471,0.0,0.026875,18.714861,0.390486
125,4.166667,2,202.549097,50.737813,0.0,0.003264,16.626597,0.384236
126,4.2,2,207.712431,44.052204,0.0,0.000139,14.598194,0.379097
127,4.233333,2,213.515139,37.650613,0.0,0.007778,13.115903,0.376389
128,4.266667,2,218.402708,32.782058,0.0,0.137986,10.700486,0.360208
129,4.3,2,226.913542,28.708941,0.0,0.23625,12.249306,0.345486
130,4.333333,2,229.770903,26.630065,0.0,0.295139,5.925278,0.239792
131,4.366667,2,232.157639,25.408715,0.0,0.302431,4.862292,0.224236
132,4.4,2,234.288333,24.740878,0.0,0.308958,3.933333,0.181458
133,4.433333,2,236.090347,24.487391,0.0,0.311597,3.289931,0.124722
134,4.466667,2,237.369514,23.704862,0.0,0.31375,2.551528,0.04125
135,4.5,2,238.160833,24.400742,0.0,0.317917,1.876181,0.035
136,4.533333,2,238.327708,23.868986,0.0,0.317569,1.043403,0.024167
137,4.566667,2,238.275278,23.86019,0.0,0.317153,0.614792,0.013056
138,4.6,2,238.212847,23.983566,0.0,0.318889,0.345069,0.010903
139,4.633333,2,238.127222,24.04988,0.0,0.319375,0.153125,0.005139
140,4.666667,2,238.024097,24.166458,0.0,0.320764,0.179653,0.006875
141,4.7,2,237.897153,24.356828,0.0,0.321181,0.185278,0.007222
142,4.733333,2,237.795208,24.589701,0.0,0.321944,0.190139,0.007361
143,4.766667,2,237.66375,24.908385,0.0,0.322847,0.191458,0.007222
144,4.8,2,237.512222,25.352027,0.0,0.32375,0.212917,0.008194
145,4.833333,2,237.297431,25.776617,0.0,0.321806,0.260347,0.007708
146,4.866667,2,237.215972,25.829035,0.0,0.320833,0.159931,0.002153
147,4.9,2,237.092014,25.894982,0.0,0.317708,0.183958,0.003264
148,4.933333,2,236.988889,25.966285,0.0,0.314653,0.183542,0.002986
149,4.966667,2,236.852847,26.043667,0.0,0.310972,0.200208,0.00375
150,5.0,2,236.718194,26.130777,0.0,0.307639,0.251181,0.004514
151,5.033333,2,236.563403,26.244936,0.0,0.303681,0.245208,0.004028
152,5.066667,2,236.455139,26.338677,0.0,0.300208,0.212292,0.00375
153,5.1,2,236.335556,26.44253,0.0,0.296597,0.197917,0.002708
154,5.133333,2,236.273681,26.509367,0.0,0.295208,0.180625,0.001806
155,5.166667,2,236.25125,26.560762,0.0,0.294444,0.104375,0.000764
156,5.2,2,236.259514,26.578251,0.0,0.294306,0.090625,0.000278
157,5.233333,2,236.241944,26.626815,0.0,0.294722,0.086597,6.9e-05
158,5.266667,2,236.266806,26.628659,0.0,0.294653,0.083056,0.000208
159,5.3,2,236.261806,26.643019,0.0,0.294444,0.073056,0.0
160,5.333333,2,236.270139,26.647052,0.0,0.294722,0.080556,0.0
161,5.366667,2,236.255139,26.671224,0.0,0.295069,0.072778,0.0
162,5.4,2,236.276597,26.649715,0.0,0.295694,0.076458,6.9e-05
163,5.433333,2,236.273403,26.656996,0.0,0.296111,0.067222,0.0
