frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
82,2.733333,1,184.629861,75.56866,0.008333,0.055903,4.323403,0.149167
83,2.766667,1,184.113403,75.620673,0.008819,0.053958,3.886319,0.136389
84,2.8,1,183.766944,75.758027,0.008819,0.054375,3.563542,0.123542
85,2.833333,1,183.403264,75.924679,0.008889,0.053056,3.069375,0.107986
86,2.866667,1,183.132014,76.095087,0.008333,0.054167,2.731944,0.095486
87,2.9,1,182.871389,76.29519,0.008819,0.054097,2.193681,0.069653
88,2.933333,1,182.774375,76.478026,0.008472,0.055625,1.827292,0.056042
89,2.966667,1,182.609792,76.623971,0.008681,0.055139,1.602639,0.048403
90,3.0,1,182.474375,76.688447,0.008611,0.054028,1.376944,0.037778
91,3.033333,1,182.287639,76.8104,0.008194,0.054306,1.161458,0.026597
92,3.066667,1,182.220278,76.846687,0.008264,0.055,0.955,0.017986
93,3.1,1,182.096736,76.951315,0.007986,0.055972,0.797014,0.013611
94,3.133333,1,181.995833,77.032206,0.007986,0.056944,0.630903,0.009167
95,3.166667,1,181.843819,77.114797,0.008264,0.058194,0.516736,0.005903
96,3.2,1,181.808611,77.065516,0.008056,0.06,0.430486,0.005278
97,3.233333,1,181.718056,77.07474,0.008264,0.059583,0.375,0.003611
98,3.266667,1,181.66375,77.075673,0.008264,0.060139,0.316806,0.0025
99,3.3,1,181.533333,77.143158,0.008542,0.059514,0.309722,0.001389
100,3.333333,1,181.537639,77.11711,0.008403,0.060069,0.28375,0.000556
101,3.366667,1,181.45625,77.163314,0.008542,0.058681,0.286667,0.001111
102,3.4,1,181.432431,77.17572,0.008472,0.057569,0.305625,0.00125
103,3.433333,1,181.335972,77.241519,0.008611,0.056806,0.372847,0.001736
104,3.466667,1,181.350208,77.231263,0.008194,0.056944,0.465486,0.002847
105,3.5,1,181.312222,77.232662,0.008472,0.057014,0.573542,0.005556
106,3.533333,1,181.302986,77.209403,0.009097,0.056875,0.721319,0.009861
107,3.566667,1,181.231181,77.21253,0.009236,0.057222,0.915417,0.015
108,3.6,1,181.252569,77.144052,0.009861,0.056806,1.096944,0.021319
109,3.633333,1,181.240417,77.049307,0.009861,0.05625,1.298264,0.033056
110,3.666667,1,181.228889,76.90701,0.009583,0.056111,1.591528,0.044514
111,3.7,1,181.182639,76.870826,0.009236,0.055486,1.895,0.062014
112,3.733333,1,181.221458,76.893232,0.008819,0.055486,2.265486,0.075694
113,3.766667,1,181.274583,76.761787,0.008889,0.054028,4.635903,0.163681
114,3.8,1,181.455139,77.14456,0.009167,0.057153,8.891111,0.236667
115,3.833333,1,181.654028,76.927074,0.008194,0.060347,12.877361,0.282222
116,3.866667,1,182.035347,76.724203,0.00875,0.061111,15.230625,0.310764
117,3.9,1,182.420764,75.948761,0.008125,0.054931,17.162917,0.331806
118,3.933333,1,182.925,75.888146,0.008472,0.050903,18.364792,0.342847
119,3.966667,1,183.340764,75.737172,0.008681,0.053542,19.837431,0.360486
120,4.0,2,184.042361,75.683113,0.008958,0.056944,20.752014,0.369514
121,4.033333,2,184.602708,75.34149,0.008542,0.054653,21.256736,0.376736
122,4.066667,2,187.306806,71.480099,0.0,0.047361,21.245069,0.385069
123,4.1,2,191.945139,64.956866,0.0,0.036389,20.475972,0.391389
124,4.133333,2,197.145625,57.858891,0.0,0.025903,18.728542,0.391458
125,4.166667,2,202.421944,50.762069,0.0,0.004444,16.646736,0.385208
126,4.2,2,207.659861,44.102497,0.0,0.000278,14.646806,0.378403
127,4.233333,2,213.366875,37.684436,0.0,0.005903,13.124653,0.376875
128,4.266667,2,218.326736,32.810044,0.0,0.14125,10.72375,0.359792
129,4.3,2,226.818681,28.724911,0.0,0.231944,12.26375,0.345694
130,4.333333,2,229.702639,26.680583,0.0,0.294861,5.950208,0.240486
131,4.366667,2,232.080208,25.456748,0.0,0.3025,4.887847,0.22625
132,4.4,2,234.228958,24.810353,0.0,0.307292,3.974444,0.182639
133,4.433333,2,236.001319,24.59636,0.0,0.311736,3.2975,0.117986
134,4.466667,2,237.285625,23.78905,0.0,0.3125,2.574583,0.041181
135,4.5,2,238.037708,24.547161,0.0,0.317917,1.874167,0.036806
136,4.533333,2,238.270972,23.967569,0.0,0.316944,1.094514,0.023056
137,4.566667,2,238.174792,23.925041,0.0,0.31625,0.697847,0.013333
138,4.6,2,238.100694,24.060531,0.0,0.318681,0.323125,0.009653
139,4.633333,2,238.009931,24.132573,0.0,0.319514,0.153958,0.005903
140,4.666667,2,237.904514,24.258592,0.0,0.32,0.161528,0.006528
141,4.7,2,237.784722,24.448876,0.0,0.320486,0.193542,0.007708
142,4.733333,2,237.649931,24.723656,0.0,0.320694,0.191875,0.007778
143,4.766667,2,237.501389,25.102999,0.0,0.321319,0.208264,0.008472
144,4.8,2,237.33625,25.587719,0.0,0.3225,0.217639,0.008611
145,4.833333,2,237.122222,26.051705,0.0,0.320764,0.27875,0.008403
146,4.866667,2,237.009306,26.150221,0.0,0.319653,0.168611,0.0025
147,4.9,2,236.874236,26.243083,0.0,0.317222,0.201181,0.003264
148,4.933333,2,236.733958,26.357921,0.0,0.314444,0.200139,0.003194
149,4.966667,2,236.608264,26.436372,0.0,0.310764,0.218889,0.004097
150,5.0,2,236.429444,26.581066,0.0,0.307292,0.266736,0.005347
151,5.033333,2,236.258194,26.735772,0.0,0.303125,0.268194,0.005139
152,5.066667,2,236.122847,26.876567,0.0,0.299444,0.225208,0.004444
153,5.1,2,236.016528,26.980054,0.0,0.296181,0.213819,0.003333
154,5.133333,2,235.912222,27.106886,0.0,0.294444,0.192639,0.002778
155,5.166667,2,235.901736,27.158808,0.0,0.294306,0.112431,0.001181
156,5.2,2,235.889792,27.212528,0.0,0.294097,0.096667,0.000556
157,5.233333,2,235.908333,27.22438,0.0,0.294444,0.090069,0.000278
158,5.266667,2,235.903194,27.253238,0.0,0.294167,0.078611,0.000417
159,5.3,2,235.910139,27.262744,0.0,0.293681,0.076806,0.000208
160,5.333333,2,235.897222,27.28779,0.0,0.293819,0.079167,0.0
161,5.366667,2,235.911528,27.27319,0.0,0.294514,0.080972,0.0
162,5.4,2,235.906181,27.283471,0.0,0.294722,0.069375,0.000208
